tag,sentence,trigger,event_type
1613,"Please take a few moments to drop her a note (I do not have an email address for her. It will have to be snail mail), give her a call at the center, or send her a fax and welcome her to our Center. Knowing the graduates here appreciate her will make a huge difference for her. The phone number for the Houston Center is 713-865-9600, toll free 800-745-1997. The Fax number is 713-626-3677.",drop,Phone-Write
1614,"I now live in Watertown, MA, 12 miles from Boston's Logan airport, in a lovely two family house I bought as an investment with my boss, my 9 year old Yorkshire Terrier, Teddy",bought,Transfer-Ownership
1615,"I just turned 50 years old this Christmas. When I had a j.o.b. I ran a software company for a few years and then started my own company, Pinnacle Business Enterprises and was under a 5 year exclusive contract with PriceWaterhouoseCoopers doing a lot of interesting things like Business Process Engineering, processes but mostly people and the effect new process would have on them. Showing them how to invite change into their lives because it freed them from the mundanne tasks and allowed them to use their great creativity instead of their backs. I'll get on to the more fun stuff (read embarrassing, teasable stuff)in a minute but just one business story.",started,Start-Org
1616,"Lauren Rouse here. I'm in charge of getting everyone excited about contacting organizations so Marcella can meet with them. Next week we want to have as many dates as possible set up for her as we can, so we are asking y'all to please talk to your organizations to see if they would be interested in having Marcella come and speak. In the near future we will be expanding this to include all the other organizations that we can contact, but we are just keeping things safe for now. If you are interested in helping out with contacting organizations then please let me know, cause I need all the help I can get. There are 6 sub committees under the organizations committee:",meet,Meet
1617,"So, as I said earlier please just stick to contacting your organizations this weekend and friends you may have in other organizations. I have attached the welcome packet info if they are interested and I have the cheat sheet to use as a guideline for when you talk to them (just in case you don't have them yet). Remember to stress that Marcella can either meet with the execs or the whole group (whatever works best), that she will be talking briefly, and that she will be there because she wants to learn about that group's concerns and issues at A&M. Don't say anything like ""vote for Marcella"" or ""support Marcella"" cause we don't want anyone to get in trouble.",meet,Meet
1618,"If they are interested in setting up a meeting then have them contact me at 979-777-6445 or at laurouse...@yahoo.com and I will send the info to Tori, or have them contact Tori Foster to set up a time.",meeting,Meet
1619,"Also, let me know who you have already contacted and set up a meeting with so that I can make sure we don't call them twice.",meeting,Meet
1620,"Ok guys, sorry for the long e-mail and the rambling, but I want to make sure that I have everything covered. And if you have any questions feel free to contact me at the numbers, addresses above.",e-mail,Phone-Write
1621,We are going to be having a sock painting party at my house instead of the normal meeting at St. Mary's. It is going to be Wednesday from 5 till 10. Come and go as you need to. We need lots and lots of help because there are tons of socks to do. We have already made one pair and they look awesome,meeting,Meet
1622,- Start on Texas Ave. and head away from Bryan - Go down Texas Ave. until you come to South West Parkway - Take right on SW Parkway - Go down SW Parkway until you come to Welsh (stoplight) - Take right on Welsh - The apartment complex is called Renaissance Park and is on the immediate left - Go into second entrance of the complex on left (mailbox should be on right side) - Park anywhere - I am in building 24 apartment #241 - We will possibly be out back around pool if no one answers door,head,Transport
